id_composite	designation	supergenre	genre	subgenre	period	primary_edition	publication_history	place	ruler	keywords	provenience	distribution	sources	provdist	project
Q001540	Gudea Statue A	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232274	Girsu (AO 00008 = RIME 3/1.01.07, St A witness)	epsd2/royal
Q001541	Gudea Statue B	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232275	Girsu (AO 00002 = RIME 3/1.01.07, St B witness)	epsd2/royal
Q001542	Gudea Statue C	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232276	Girsu (AO 00005 = RIME 3/1.01.07, St C witness)	epsd2/royal
Q001543	Gudea Statue D	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232277	Girsu (AO 00001 = RIME 3/1.01.07, St D witness)	epsd2/royal
Q001544	Gudea Statue E	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232278	Girsu (AO 00006 = RIME 3/1.01.07, St E witness)	epsd2/royal
Q001545	Gudea Statue F	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232279	Girsu (AO 00003 = RIME 3/1.01.07, St F witness)	epsd2/royal
Q001546	Gudea Statue G	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232280	Girsu (AO 00007 = RIME 3/1.01.07, St G witness)	epsd2/royal
Q001547	Gudea Statue H	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232281	Girsu (AO 00004 = RIME 3/1.01.07, St H witness)	epsd2/royal
Q001548	Gudea Statue I	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232282	Girsu (AO 03293 + AO 04108 = RIME 3/1.01.07, St I witness)	epsd2/royal
Q001549	Gudea Statue K	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232283	Girsu (AO 00010 = RIME 3/1.01.07, St K witness)	epsd2/royal
Q001551	Gudea Statue M	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		uncertain	uncertain [1]	P232285	uncertain (DIA 82.064 = RIME 3/1.01.07, St M witness)	epsd2/royal
Q001552	Gudea Statue N	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		uncertain	uncertain [1]	P232286	uncertain (AO 22126 = RIME 3/1.01.07, St N witness)	epsd2/royal
Q001553	Gudea Statue O	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		uncertain	uncertain [1]	P232287	uncertain (NCG 0840 = RIME 3/1.01.07, St O witness)	epsd2/royal
Q001554	Gudea Statue P	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		uncertain	uncertain [1]	P232288	uncertain (MMA 59.02 = RIME 3/1.01.07, St P witness)	epsd2/royal
Q001555	Gudea Statue Q	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		uncertain	uncertain [1]	P232289	uncertain (IM 002909 + CBS 16664 = RIME 3/1.01.07, St Q witness)	epsd2/royal
Q001556	Gudea Statue R	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		uncertain	uncertain [1]	P232290	uncertain (SM 1936.05.001 ? = RIME 3/1.01.07, St R witness)	epsd2/royal
Q001557	Gudea Statue S	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232291	Girsu (Ist EŞEM 05215 = RIME 3/1.01.07, St S witness)	epsd2/royal
Q001558	Gudea Statue T	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Nippur	Nippur [1]	P232292	Nippur (Golenishev 5144,1 + UM L.29.212 = RIME 3/1.01.07, St T witness)	epsd2/royal
Q001559	Gudea Statue U	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Tell Hammam	Tell Hammam [1]	P232293	Tell Hammam (BM 092988 = RIME 3/1.01.07, St U witness)	epsd2/royal
Q001560	Gudea Statue V	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		uncertain	uncertain [1]	P232294	uncertain (BM 122910 = RIME 3/1.01.07, St V witness)	epsd2/royal
Q001561	Gudea Statue W	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232295	Girsu (AO 00020 = RIME 3/1.01.07, St W witness)	epsd2/royal
Q001562	Gudea Statue X	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232296	Girsu (AO 26646 = RIME 3/1.01.07, St X witness)	epsd2/royal
Q001563	Gudea Statue Y	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232297	Girsu (AO 26633 = RIME 3/1.01.07, St Y witness)	epsd2/royal
Q001564	Gudea Statue Z	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232298	Girsu (AO 26637 = RIME 3/1.01.07, St Z witness)	epsd2/royal
Q001565	Gudea Statue AA	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. xx, E3/1.1.7		Girsu	Gudea		Girsu	Girsu [1]	P232299	Girsu (AO 26630 = RIME 3/1.01.07, St AA witness)	epsd2/royal
Q005312	Gudea Statue L	LIT	Royal Inscription		Lagaš II		RIME 3/1.01.07, Statue L	Girsu	Gudea		Girsu	Girsu [1]	P232284	Girsu (AO 00028 = RIME 3/1.01.07, St L witness)	epsd2/royal
