id_composite	designation	supergenre	genre	subgenre	period	primary_edition	publication_history	place	ruler	keywords	provenience	distribution	sources	provdist	project
Q000894	Gudea 016	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 119, E3/1.1.7.16		Girsu	Gudea		Girsu	Girsu [30], uncertain [14]	P128039 P232426 P232427 P232428 P232429 P232430 P232431 P232432 P232433 P232434 P232435 P232436 P232437 P232438 P232439 P232440 P232441 P232442 P232443 P232444 P232445 P232446 P232447 P232448 P232449 P232450 P232451 P232452 P232453 P232454 P232455 P232456 P232457 P232458 P232459 P232460 P232461 P232462 P232463 P232464 P232465 P232466 P232467 P232468	Girsu [30], uncertain [14]	epsd2/royal
Q000895	Gudea 017	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 119, E3/1.1.7.17		Girsu	Gudea		Girsu	Girsu [1], uncertain [1]	P232469 P232470	uncertain (BM 022468 = RIME 3/1.01.07.017, ex. 02); Girsu (AO 00130 = RIME 3/1.01.07.017, ex. 01)	epsd2/royal
Q000896	Gudea 018	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 120, E3/1.1.7.18		Girsu	Gudea		Girsu	Girsu [2]	P232471 P232472	Girsu (Ashm 1961-0260 = RIME 3/1.01.07.018, ex. 01, BM 090288 = RIME 3/1.01.07.018, ex. 02)	epsd2/royal
Q000897	Gudea 019	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 121, E3/1.1.7.19		Girsu	Gudea		Girsu	Girsu [3]	P232473 P232474 P406263	Girsu (SM 1906.02.010 = RIME 3/1.01.07.019, ex. add03, AO 21026b = RIME 3/1.01.07.019, ex. 02, AO 21026d = RIME 3/1.01.07.019, ex. 01)	epsd2/royal
Q000898	Gudea 020	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 122, E3/1.1.7.20		Girsu	Gudea		Girsu	Girsu [7]	P232475 P232476 P232477 P232478 P232479 P232480 P232481	Girsu [7]	epsd2/royal
Q000899	Gudea 021	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 122, E3/1.1.7.21		Girsu	Gudea		Girsu	Girsu [6], uncertain [6]	P232482 P232483 P232484 P232485 P232486 P232487 P232488 P232489 P232490 P232491 P232492 P235774	Girsu [6], uncertain [6]	epsd2/royal
Q000900	Gudea 024	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 125, E3/1.1.7.24		Girsu	Gudea		Girsu	Girsu [21], uncertain [12]	P232495 P232496 P232497 P232498 P232499 P232500 P232501 P232502 P232503 P232504 P232505 P232506 P232507 P232508 P232509 P232510 P232511 P232512 P232513 P232514 P232515 P232516 P232517 P232518 P232519 P232520 P232521 P232522 P232523 P232524 P232525 P232526 P368361	Girsu [21], uncertain [12]	epsd2/royal
Q000901	Gudea 025	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 125, E3/1.1.7.25		Girsu	Gudea		Girsu	Girsu [2], Sirara [1]	P232527 P232528 P232529	Girsu (VA 00066 = RIME 3/1.01.07.025, ex. 01, BM 090798 = RIME 3/1.01.07.025, ex. 02); Sirara (BM 135993 & BM 135994 = RIME 3/1.01.07.025, ex. 03)	epsd2/royal
Q000902	Gudea 026	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 126, E3/1.1.7.26		Girsu	Gudea		Sirara	Sirara [33], Girsu [5], Lagash [2], Ur [2], Umm Chatil [1], uncertain [9]	P232531 P232532 P232533 P232534 P232535 P232536 P232537 P232538 P232539 P232540 P232541 P232542 P232543 P232544 P232545 P232546 P232547 P232548 P232549 P232550 P232551 P232552 P232553 P232554 P232555 P232556 P232557 P232558 P232559 P232560 P232561 P232562 P232563 P232564 P232565 P232566 P232567 P232568 P232569 P232570 P232571 P232572 P232573 P232574 P232575 P232576 P232577 P232578 P405669 P480702 P480703 P480704	Sirara [33], Girsu [5], Lagash [2], and 12 more exx.	epsd2/royal
Q000903	Gudea 029	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 129, E3/1.1.7.29		Girsu	Gudea		Ur	Ur [2], uncertain [1]	P232581 P232582 P232583	uncertain (VA 10578 = RIME 3/1.01.07.029, ex. 03); Ur (IM 092967 = RIME 3/1.01.07.029, ex. 02, IM 092966 = RIME 3/1.01.07.029, ex. 01)	epsd2/royal
Q000904	Gudea 031	LIT	Royal Inscription		Lagaš II	RIME 3/1, p. 130, E3/1.1.7.31		Girsu	Gudea		Girsu	Girsu [77], Lagash [2], Uruk [1], uncertain [94]	P232585 P232586 P232587 P232588 P232589 P232590 P232591 P232592 P232593 P232594 P232595 P232596 P232597 P232598 P232599 P232600 P232601 P232602 P232603 P232604 P232605 P232606 P232607 P232608 P232609 P232610 P232611 P232612 P232613 P232614 P232615 P232616 P232617 P232618 P232619 P232620 P232621 P232622 P232623 P232624 P232625 P232626 P232627 P232628 P232629 P232630 P232631 P232632 P232633 P232634 P232635 P232636 P232637 P232638 P232639 P232640 P232641 P232642 P232643 P232644 P232645 P232646 P232647 P232648 P232649 P232650 P232651 P232652 P232653 P232654 P232655 P232656 P232657 P232658 P232659 P232660 P232661 P232662 P232663 P232664 P232665 P232666 P232667 P232668 P232669 P232670 P232671 P232672 P232673 P232674 P232675 P232676 P232677 P232678 P232679 P232680 P232681 P232682 P232683 P232684 P232685 P232686 P232687 P232688 P232689 P232690 P232691 P232692 P232693 P232694 P232695 P232696 P232697 P232698 P232699 P232700 P232701 P232702 P232703 P232704 P232705 P232706 P232707 P232708 P232709 P232710 P232711 P232712 P232713 P232714 P232715 P232716 P232718 P232719 P232720 P232721 P232722 P232723 P232724 P232725 P232726 P232727 P232728 P232729 P232730 P232731 P232732 P232733 P232734 P232735 P232736 P232737 P232738 P232739 P232740 P235308 P235310 P274858 P286230 P289832 P289859 P289884 P387688 P417312 P417405 P417437 P429997 P433125 P464921 P467682 P507571 P507578 P507584 P522156	Girsu [77], Lagash [2], Uruk [1], and 94 more exx.	epsd2/royal
